Month,Year,Waist,Hips,Height,Weight,BMI,Waist/Hip
December,1953,24.0,36.0,65.0,118.0,19.63,0.67
January,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
February,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
March,1954,24.0,35.0,66.0,118.0,19.04,0.69
April,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
May,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
June,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
July,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
August,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
September,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
October,1954,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
November,1954,23.43317230273752,34.69870759289176,65.5,125.0,20.48,0.6779159935379645
December,1954,24.0,36.0,66.05725806451613,114.93606557377048,18.232168284789644,0.67
January,1955,23.43317230273752,34.69870759289176,65.5,114.93606557377048,0.0,0.6779159935379645
February,1955,21.0,32.0,66.05725806451613,114.93606557377048,18.232168284789644,0.66
March,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
April,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
May,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
June,1955,25.0,35.0,66.05725806451613,114.93606557377048,18.232168284789644,0.71
July,1955,24.0,36.0,65.5,115.0,18.84,0.67
August,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
September,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
October,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
November,1955,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
December,1955,24.0,36.0,65.5,115.0,18.84,0.67
January,1956,24.0,37.0,66.05725806451613,114.93606557377048,18.232168284789644,0.65
February,1956,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
March,1956,21.0,34.0,63.0,114.93606557377048,0.0,0.62
April,1956,22.0,35.0,65.5,114.93606557377048,0.0,0.63
May,1956,23.0,35.0,66.0,114.93606557377048,0.0,0.66
June,1956,21.0,34.0,63.0,114.93606557377048,0.0,0.62
July,1956,24.0,34.0,62.0,105.0,19.2,0.71
August,1956,24.0,36.0,67.0,122.0,19.11,0.67
September,1956,24.0,35.0,66.05725806451613,114.93606557377048,18.232168284789644,0.69
October,1956,24.0,36.0,65.5,115.0,18.84,0.67
November,1956,22.0,36.0,63.0,128.0,22.67,0.61
December,1956,23.0,35.0,62.0,106.0,19.39,0.66
January,1957,25.0,36.0,65.0,120.0,19.97,0.69
February,1957,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
March,1957,20.0,36.0,67.0,120.0,18.79,0.56
April,1957,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
May,1957,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
June,1957,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
July,1957,23.0,34.0,63.0,114.93606557377048,0.0,0.68
August,1957,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
September,1957,23.43317230273752,34.69870759289176,66.05725806451613,117.0,18.232168284789644,0.6779159935379645
October,1957,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
November,1957,22.0,33.0,62.0,98.0,17.92,0.67
December,1957,21.0,35.0,66.05725806451613,114.93606557377048,18.232168284789644,0.6
January,1958,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
February,1958,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
March,1958,23.43317230273752,34.69870759289176,67.0,114.93606557377048,0.0,0.6779159935379645
April,1958,23.43317230273752,34.69870759289176,67.5,114.93606557377048,0.0,0.6779159935379645
May,1958,21.0,34.0,69.0,124.0,18.31,0.62
June,1958,20.0,36.0,65.0,120.0,19.97,0.56
July,1958,23.43317230273752,34.69870759289176,62.0,114.93606557377048,0.0,0.6779159935379645
August,1958,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
September,1958,23.43317230273752,34.69870759289176,62.0,100.0,18.29,0.6779159935379645
October,1958,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
November,1958,22.5,34.0,65.0,118.0,19.63,0.66
December,1958,24.0,34.0,66.5,118.0,18.76,0.71
January,1959,22.0,36.0,66.05725806451613,114.93606557377048,18.232168284789644,0.61
February,1959,22.0,37.0,68.5,135.0,20.23,0.59
March,1959,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
April,1959,24.0,36.0,65.0,125.0,20.8,0.67
May,1959,24.0,36.0,66.0,124.0,20.01,0.67
June,1959,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
July,1959,24.0,36.0,63.0,105.0,18.6,0.67
August,1959,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
September,1959,24.0,34.0,66.0,110.0,17.75,0.71
October,1959,25.0,37.0,68.0,130.0,19.76,0.68
November,1959,22.0,36.0,63.5,115.0,20.05,0.61
December,1959,20.0,35.0,64.0,110.0,18.88,0.57
January,1960,24.0,36.0,66.05725806451613,114.93606557377048,18.232168284789644,0.67
February,1960,23.0,36.0,67.0,130.0,20.36,0.64
March,1960,24.0,36.0,68.0,126.0,19.16,0.67
April,1960,23.0,36.5,64.0,112.0,19.22,0.63
May,1960,23.0,36.0,65.0,125.0,20.8,0.64
June,1960,20.0,36.0,62.0,108.0,19.75,0.56
July,1960,22.0,35.0,65.0,110.0,18.3,0.63
August,1960,23.0,35.0,64.0,120.0,20.6,0.66
September,1960,20.0,35.0,62.0,105.0,19.2,0.57
October,1960,21.0,34.0,65.0,114.0,18.97,0.62
November,1960,18.0,32.0,62.0,100.0,18.29,0.56
December,1960,23.0,35.0,66.0,120.0,19.37,0.66
January,1961,21.0,36.0,65.0,110.0,18.3,0.58
February,1961,24.0,36.0,67.0,120.0,18.79,0.67
March,1961,22.0,36.0,64.0,117.0,20.08,0.61
April,1961,24.0,36.0,67.0,125.0,19.58,0.67
May,1961,22.0,35.0,63.0,108.0,19.13,0.63
June,1961,22.0,34.0,64.0,105.0,18.02,0.65
July,1961,23.0,35.0,69.0,126.0,18.6,0.66
August,1961,23.43317230273752,34.69870759289176,66.05725806451613,114.93606557377048,18.232168284789644,0.6779159935379645
September,1961,22.0,36.0,65.0,122.0,20.3,0.61
October,1961,24.0,37.0,64.0,120.0,20.6,0.65
November,1961,22.0,35.0,67.0,120.0,18.79,0.63
December,1961,22.0,35.0,66.5,115.0,18.28,0.63
January,1962,22.0,34.0,65.0,112.0,18.64,0.65
February,1962,23.0,35.0,64.0,117.0,20.08,0.66
March,1962,23.0,35.0,61.0,104.0,19.65,0.66
April,1962,21.0,34.0,62.0,102.0,18.65,0.62
May,1962,23.0,36.0,68.5,126.0,18.88,0.64
June,1962,22.0,36.0,64.5,116.0,19.6,0.61
July,1962,23.0,39.0,67.0,129.0,20.2,0.59
August,1962,23.0,35.0,65.0,120.0,19.97,0.66
September,1962,18.0,34.0,60.0,100.0,19.53,0.53
October,1962,25.0,36.0,66.0,125.0,20.17,0.69
November,1962,22.0,36.0,65.5,124.0,20.32,0.61
December,1962,20.0,34.0,62.0,102.0,18.65,0.59
January,1963,22.0,33.0,61.0,100.0,18.89,0.67
February,1963,22.0,36.0,65.0,120.0,19.97,0.61
March,1963,22.0,36.0,67.0,125.0,19.58,0.61
April,1963,24.0,36.0,68.5,137.0,20.53,0.67
May,1963,23.0,36.0,64.0,110.0,18.88,0.64
