Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,RealClusters
Bulbasaur,318,45,77.6346582294575,50.85470202371978,65,65,45,2
Ivysaur,405,60,67.45427330342724,39.20232264077971,80,80,60,1
Venusaur,525,80,76.00742314037609,47.6058462944148,100,100,80,2
VenusaurMega Venusaur,625,80,77.8280306989389,50.744910951237024,122,120,80,2
Charmander,309,39,68.65810401997271,37.8900270606616,60,50,65,1
Charmeleon,405,58,54.48418223227653,33.07802263544077,80,65,80,0
Charizard,534,78,76.32434228560146,50.08635127645571,109,85,100,2
CharizardMega Charizard X,634,78,52.37876275315615,32.9049166339221,130,85,100,0
CharizardMega Charizard Y,634,78,54.392098238637146,35.59185602924103,159,115,100,0
Squirtle,314,44,54.98944118607083,32.79112049971811,50,64,43,0
Wartortle,405,59,76.91917622808364,43.1,65,80,58,2
Blastoise,530,79,53.522049329933054,33.59572891494826,85,105,78,0
BlastoiseMega Blastoise,630,79,53.82232066915578,34.29287878273113,135,115,78,0
Vulpix,299,38,76.07473555764594,52.011351128370414,50,65,65,2
Oddish,320,45,68.45435275606147,38.75777499708161,75,65,30,1
Gloom,395,60,77.60171708212174,50.40615077161825,85,75,40,2
Psyduck,320,50,54.17319706102894,32.38673459812381,65,50,55,0
Golduck,500,80,68.65095731190124,39.27731595423533,95,80,85,1
Growlithe,350,55,70.45762186411683,39.97697661787946,70,50,60,1
Arcanine,555,90,55.48231408392673,34.587973176197714,100,80,95,0
Poliwag,300,40,75.03101779776559,49.89421294297159,40,40,90,2
Poliwhirl,385,65,55.07041503493988,32.435543562495326,50,50,90,0
Poliwrath,510,90,51.98470271517667,35.417023384629424,70,90,70,0
Weepinbell,390,65,55.61001727721074,33.521022504403234,85,45,55,0
Victreebel,490,80,76.73640590474845,50.27836205411463,100,70,70,2
Tentacool,335,40,52.66963082808236,33.559713754534855,50,100,70,0
Tentacruel,515,80,54.05086881506884,34.17487862661629,80,120,100,0
Ponyta,410,50,53.00012805713867,33.50205511584354,65,65,90,0
Rapidash,500,65,52.98025370898698,32.99959991700827,80,80,105,0
Slowpoke,315,90,55.679726334656365,34.405732307979406,40,40,15,0
Seel,325,65,67.54146415245984,38.20375505633214,45,70,45,1
Dewgong,475,90,75.58644188895494,49.95551012993486,70,95,70,2
Shellder,305,30,54.87390796620593,31.75701759498116,45,25,40,0
Cloyster,525,50,70.24273400773158,37.774374813376696,85,45,70,1
Krabby,325,30,54.553822248921264,32.06805143184609,25,25,50,0
Kingler,475,55,52.58546814157538,33.197592427654975,50,50,75,0
Exeggcute,325,60,76.33548001059293,48.38660625335572,60,45,40,2
Exeggutor,520,95,53.059206460497485,31.38750644043619,125,65,55,0
Tangela,435,65,68.16820237082862,38.487226511785344,100,40,60,1
Horsea,295,30,69.34281912761438,38.16269521641824,70,25,60,1
Seadra,440,55,69.68554999184784,39.83036830541834,95,45,85,1
Goldeen,320,45,68.36413687554385,40.01454864434498,35,50,63,1
Seaking,450,80,69.64939587396934,37.39735069100645,65,80,68,1
Staryu,340,30,68.72546612305953,38.37747053014634,70,55,85,1
Magmar,495,65,75.14915196221355,49.66595410175085,100,85,93,2
Magikarp,200,20,67.28647131563731,40.31628967348911,15,20,80,1
Gyarados,540,95,76.05926898075478,50.20060551539675,60,100,81,2
Lapras,535,130,75.50292351264456,49.43631472795809,85,95,60,2
Vaporeon,525,130,76.7821321003609,49.93730064752239,110,95,65,2
Flareon,525,65,77.52690685826208,49.303261144605294,95,110,65,2
Moltres,580,90,78.2711965294433,49.61846151136301,125,85,90,2
Chikorita,318,45,54.11887393682785,33.22182127152795,49,65,45,0
Bayleef,405,60,54.425842164627895,33.596139286930594,63,80,60,0
Meganium,525,80,76.40184530065544,48.58995173608676,83,100,80,2
Cyndaquil,309,39,77.46624229333365,51.67581089488748,60,50,65,2
Quilava,405,58,54.84624703924912,33.14671170585265,80,65,80,0
Typhlosion,534,78,77.00756636652902,48.65260276868492,109,85,100,2
Totodile,314,50,53.886329326706,32.10645366991814,44,48,43,0
Feraligatr,530,85,52.99731171313127,33.16856739007769,79,83,78,0
Chinchou,330,75,54.24295692583013,33.66581356357863,56,56,67,0
Lanturn,460,125,55.31035409847158,34.028790696937456,76,76,67,0
Marill,250,70,68.5680869508944,37.563809146171415,20,50,40,1
Azumarill,420,100,51.652005319917535,32.520546780885894,60,80,50,0
Hoppip,250,35,75.37231402010651,47.96007421180012,35,55,50,2
Skiploom,340,55,53.44488183841014,33.59875698080521,45,65,80,0
Jumpluff,460,75,75.35684264706478,51.05403709239662,55,95,110,2
Sunkern,180,30,76.33835894416886,49.546449705089536,30,30,30,2
Wooper,210,55,68.4572496395427,37.63067080613861,25,25,15,1
Quagsire,430,95,54.82629986107048,32.708655587830776,65,65,35,0
Qwilfish,430,65,66.87329048400386,38.55862588613317,55,55,85,1
Slugma,250,40,68.62321303429492,36.26274703285448,70,40,20,1
Magcargo,410,50,55.01823556039684,33.69027639440737,80,80,30,0
Corsola,380,55,76.49005975132864,49.14883085748143,65,85,35,2
Remoraid,300,35,52.29996966456981,31.73275000158697,65,35,65,0
Octillery,480,75,67.77815699722302,37.68551611955216,105,75,45,1
Mantine,465,65,76.30044965462409,49.66306197547542,80,140,70,2
Kingdra,540,75,52.47547454126621,33.794492360785775,95,95,85,0
Entei,580,115,75.45288803992797,49.53878893326671,90,75,100,2
Ho-oh,680,106,74.7096702621174,50.59851540932965,110,154,90,2
Treecko,310,40,54.59753716755306,32.157395639406154,65,55,70,0
Grovyle,405,50,68.59876391322253,39.75143921518876,85,65,95,1
Sceptile,530,70,68.6794656607403,38.48463072785374,105,85,120,1
SceptileMega Sceptile,630,70,69.42931251882423,40.09919651709864,145,85,145,1
Torchic,310,45,75.57210134314748,49.39002047290058,70,50,45,2
Combusken,405,60,53.808690174140445,32.61567788454649,85,60,55,0
Blaziken,530,80,69.02324551367232,39.39109839279015,110,70,80,1
Mudkip,310,50,69.34099622223536,38.51635865424586,50,50,40,1
Marshtomp,405,70,69.11148618805427,38.3279533578728,60,70,50,1
Swampert,535,100,68.78573142644436,39.28613167091004,85,90,60,1
Lotad,220,40,52.30523433149168,31.05972220633348,40,50,30,0
Lombre,340,60,67.75829050091284,38.56613482395768,60,70,50,1
