age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
27,,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45,United-States,0
44,,11th,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,60,United-States,0
59,Private,Bachelors,Separated,Adm-clerical,Unmarried,White,Male,0.0,0.0,60,United-States,0
54,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,0.0,1408.0,38,United-States,0
49,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70,United-States,1
41,,HS-grad,Separated,?,Not-in-family,Black,Female,0.0,0.0,32,United-States,0
29,Private,10th,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,32,United-States,0
31,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,Other,Female,0.0,0.0,40,Mexico,0
23,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,25,United-States,0
34,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,8614.0,0.0,60,United-States,1
25,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40,India,0
56,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,1
26,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40,United-States,0
45,Private,1st-4th,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,25,El-Salvador,0
45,Private,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,38,Mexico,0
45,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,1
58,Private,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,1
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35,United-States,0
35,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,United-States,1
23,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,20,United-States,0
19,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40,United-States,0
43,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,55,United-States,1
24,Private,Assoc-voc,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40,United-States,0
32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,1
53,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,0
37,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,45,United-States,0
43,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,0
54,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,1
35,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40,United-States,0
25,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45,United-States,0
45,Local-gov,HS-grad,Widowed,Protective-serv,Not-in-family,White,Male,0.0,0.0,40,United-States,1
65,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Male,11678.0,0.0,50,United-States,1
32,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,50,China,1
25,Private,Assoc-voc,Never-married,Tech-support,Unmarried,Black,Female,0.0,0.0,40,United-States,0
33,Private,Assoc-acdm,Married-spouse-absent,Prof-specialty,Own-child,White,Female,0.0,0.0,40,United-States,0
51,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40,United-States,0
