Product_ID;Name;Price;CURRENCY
47;Шатны Полосатый рейс;2999;RUR
51;Платье Аленький цветочек;4999;RUR
53;Штаны Цветочная Поляна;4999;RUR
71;Платье Ночная Жизнь;7999;RUR
74;Платье Ночная Жизнь XXXL;8999;RUR
86;Носки Простые, муж;45;RUR
91;Носки Честные, муж;50;RUR
103;Носки Подарочные, муж;199;RUR
104;Носки Подарочные, жен;249;RUR
124;Носки беговые Camino;999;RUR
137;Гольфы детские Снегурочка;99;RUR
138;Гольфы детские Питер Пен;99;RUR
139;Сумка для носков;500;RUR
140;Товар, которому не придумано название;1;RUR
